Epoch , PRN , SvX , SvY , SvZ, PrM, PrSigmaM , GTx , GTy, GTz
13 , 12 , -10893640.785427 , -15316206.264951 , 18595606.981890 , 20148208.725203, 4.796679, -2694569.110814, -4296488.664645, 3854813.194956
13 , 19 , 15916047.263948 , -16106000.587646 , 13566617.283773 , 24086074.898515, 4.197094, -2694569.110814, -4296488.664645, 3854813.194956
13 , 24 , -21919784.063964 , -14994172.249706 , -3474933.735345 , 23189951.310938, 4.796679, -2694569.110814, -4296488.664645, 3854813.194956
13 , 25 , -14682186.117833 , -4403449.978325 , 21474142.425958 , 21310899.818119, 1.798755, -2694569.110814, -4296488.664645, 3854813.194956
13 , 29 , -23775674.850870 , 2012913.901663 , 11646165.857864 , 23343652.707133, 3.597509, -2694569.110814, -4296488.664645, 3854813.194956
14 , 2 , -5476370.414431 , -18241363.618288 , 19175690.156852 , 20902790.248157, 2.098547, -2694569.110130, -4296488.664942, 3854813.195103
14 , 5 , -2175779.310655 , -26160288.259537 , -3397010.910262 , 23040900.350256, 4.197094, -2694569.110130, -4296488.664942, 3854813.195103
14 , 6 , 6195256.671439 , -13566027.609002 , 22027745.469232 , 22253278.697913, 2.098547, -2694569.110130, -4296488.664942, 3854813.195103
14 , 12 , -10893259.066403 , -15318578.847412 , 18593913.337730 , 20148110.967403, 4.197094, -2694569.110130, -4296488.664942, 3854813.195103
14 , 19 , 15917757.224342 , -16106491.185679 , 13564082.561746 , 24086605.783447, 4.796679, -2694569.110130, -4296488.664942, 3854813.195103
14 , 24 , -21919266.698102 , -14994252.100784 , -3477990.932568 , 23190515.178434, 4.796679, -2694569.110130, -4296488.664942, 3854813.195103
14 , 25 , -14682042.065706 , -4406226.006000 , 21473702.619651 , 21310467.490076, 1.798755, -2694569.110130, -4296488.664942, 3854813.195103
14 , 29 , -23774387.767008 , 2012160.831839 , 11648910.523010 , 23343203.276003, 3.597509, -2694569.110130, -4296488.664942, 3854813.195103
15 , 2 , -5474287.168533 , -18240378.819448 , 19177269.699138 , 20903014.989167, 1.798755, -2694569.104296, -4296488.658695, 3854813.189614
15 , 5 , -2175454.113840 , -26160702.914922 , -3393880.899977 , 23040299.453791, 4.796679, -2694569.104296, -4296488.658695, 3854813.189614
15 , 6 , 6197616.220243 , -13564559.844686 , 22027990.595824 , 22253807.715606, 2.098547, -2694569.104296, -4296488.658695, 3854813.189614
15 , 12 , -10892877.516416 , -15320951.236685 , 18592219.292548 , 20148012.232394, 4.796679, -2694569.104296, -4296488.658695, 3854813.189614
15 , 19 , 15919466.852754 , -16106981.769702 , 13561547.545820 , 24087149.197671, 4.796679, -2694569.104296, -4296488.658695, 3854813.189614
15 , 24 , -21918749.005806 , -14994331.795853 , -3481048.057372 , 23191103.266821, 4.796679, -2694569.104296, -4296488.658695, 3854813.189614
15 , 25 , -14681898.177931 , -4409001.982432 , 21473262.347305 , 21310039.873602, 1.798755, -2694569.104296, -4296488.658695, 3854813.189614
15 , 29 , -23773100.413127 , 2011407.542138 , 11651654.940033 , 23342754.385840, 3.597509, -2694569.104296, -4296488.658695, 3854813.189614
16 , 2 , -5472203.697501 , -18239394.053203 , 19178848.854236 , 20903233.378300, 2.098547, -2694569.102612, -4296488.659619, 3854813.189761
16 , 5 , -2175128.942383 , -26161117.194480 , -3390750.816931 , 23039718.607633, 5.096472, -2694569.102612, -4296488.659619, 3854813.189761
16 , 6 , 6199975.884828 , -13563092.209489 , 22028235.255993 , 22254341.183108, 1.798755, -2694569.102612, -4296488.659619, 3854813.189761
16 , 12 , -10892496.135430 , -15323323.432706 , 18590524.846389 , 20147914.334996, 5.096472, -2694569.102612, -4296488.659619, 3854813.189761
16 , 19 , 15921176.149256 , -16107472.339620 , 13559012.235987 , 24087697.951686, 5.096472, -2694569.102612, -4296488.659619, 3854813.189761
16 , 24 , -21918230.986774 , -14994411.335272 , -3484105.110201 , 23191666.122179, 4.796679, -2694569.102612, -4296488.659619, 3854813.189761
16 , 25 , -14681754.454484 , -4411777.907698 , 21472821.608916 , 21309607.423409, 1.798755, -2694569.102612, -4296488.659619, 3854813.189761
16 , 29 , -23771812.789270 , 2010654.032472 , 11654399.108905 , 23342303.035165, 3.597509, -2694569.102612, -4296488.659619, 3854813.189761
17 , 2 , -5470120.001528 , -18238409.319624 , 19180427.622047 , 20903458.224009, 1.798755, -2694569.102851, -4296488.660000, 3854813.189173
17 , 5 , -2174803.796070 , -26161531.098243 , -3387620.660950 , 23039134.306313, 5.696057, -2694569.102851, -4296488.660000, 3854813.189173
17 , 6 , 6202335.665205 , -13561624.703412 , 22028479.449739 , 22254872.416960, 2.098547, -2694569.102851, -4296488.660000, 3854813.189173
17 , 12 , -10892114.923368 , -15325695.435534 , 18588829.999226 , 20147805.199655, 6.295642, -2694569.102851, -4296488.660000, 3854813.189173
17 , 19 , 15922885.114044 , -16107962.895330 , 13556476.632106 , 24088228.295632, 4.796679, -2694569.102851, -4296488.660000, 3854813.189173
17 , 24 , -21917712.641234 , -14994490.718834 , -3487162.090541 , 23192247.701632, 4.796679, -2694569.102851, -4296488.660000, 3854813.189173
17 , 25 , -14681610.895371 , -4414553.781635 , 21472380.404504 , 21309176.910189, 1.798755, -2694569.102851, -4296488.660000, 3854813.189173
17 , 29 , -23770524.895477 , 2009900.302794 , 11657143.029594 , 23341845.856130, 3.597509, -2694569.102851, -4296488.660000, 3854813.189173
18 , 2 , -5468036.080586 , -18237424.618723 , 19182006.002596 , 20903678.899121, 1.798755, -2694569.098686, -4296488.653636, 3854813.182655
18 , 5 , -2174478.675001 , -26161944.626175 , -3384490.432193 , 23038555.449460, 5.096472, -2694569.098686, -4296488.653636, 3854813.182655
18 , 6 , 6204695.561272 , -13560157.326516 , 22028723.177057 , 22255401.574260, 2.098547, -2694569.098686, -4296488.653636, 3854813.182655
18 , 12 , -10891733.880359 , -15328067.244863 , 18587134.751208 , 20147704.806877, 5.696057, -2694569.098686, -4296488.653636, 3854813.182655
18 , 19 , 15924593.746815 , -16108453.436880 , 13553940.734431 , 24088763.752561, 4.796679, -2694569.098686, -4296488.653636, 3854813.182655
18 , 24 , -21917193.969110 , -14994569.946629 , -3490218.998537 , 23192827.536052, 4.796679, -2694569.098686, -4296488.653636, 3854813.182655
18 , 25 , -14681467.500593 , -4417329.604208 , 21471938.734072 , 21308741.947176, 1.798755, -2694569.098686, -4296488.653636, 3854813.182655
18 , 29 , -23769236.731835 , 2009146.353241 , 11659886.701946 , 23341393.493371, 3.597509, -2694569.098686, -4296488.653636, 3854813.182655
19 , 2 , -5465951.934726 , -18236439.950573 , 19183583.995823 , 20903901.074954, 1.798755, -2694569.098376, -4296488.653697, 3854813.182802
19 , 5 , -2174153.578893 , -26162357.778313 , -3381360.130497 , 23037960.102140, 5.696057, -2694569.098376, -4296488.653697, 3854813.182802
19 , 6 , 6207055.573000 , -13558690.078830 , 22028966.437942 , 22255929.544948, 2.098547, -2694569.098376, -4296488.653697, 3854813.182802
19 , 12 , -10891353.006308 , -15330438.860726 , 18585439.102336 , 20147606.804781, 5.096472, -2694569.098376, -4296488.653697, 3854813.182802
19 , 19 , 15926302.047623 , -16108943.964164 , 13551404.542986 , 24089300.710208, 4.796679, -2694569.098376, -4296488.653697, 3854813.182802
19 , 24 , -21916674.970337 , -14994649.018775 , -3493275.834149 , 23193403.479064, 4.796679, -2694569.098376, -4296488.653697, 3854813.182802
19 , 25 , -14681324.270152 , -4420105.375243 , 21471496.597647 , 21308313.894451, 1.798755, -2694569.098376, -4296488.653697, 3854813.182802
19 , 29 , -23767948.298414 , 2008392.183754 , 11662630.125870 , 23340949.541614, 3.297717, -2694569.098376, -4296488.653697, 3854813.182802
20 , 2 , -5463867.564008 , -18235455.315220 , 19185161.601694 , 20904125.327360, 1.798755, -2694569.097594, -4296488.652728, 3854813.184418
20 , 5 , -2173828.507913 , -26162770.554593 , -3378229.756204 , 23037374.300120, 5.696057, -2694569.097594, -4296488.652728, 3854813.184418
20 , 6 , 6209415.700315 , -13557222.960403 , 22029209.232388 , 22256456.869975, 1.798755, -2694569.097594, -4296488.652728, 3854813.184418
20 , 12 , -10890972.301224 , -15332810.283017 , 18583743.052668 , 20147514.474002, 5.696057, -2694569.097594, -4296488.652728, 3854813.184418
20 , 19 , 15928010.016447 , -16109434.477137 , 13548868.057813 , 24089837.336324, 4.197094, -2694569.097594, -4296488.652728, 3854813.184418
20 , 24 , -21916155.644870 , -14994727.935347 , -3496332.597395 , 23193967.381431, 5.096472, -2694569.097594, -4296488.652728, 3854813.184418
20 , 25 , -14681181.204030 , -4422881.094793 , 21471053.995224 , 21307882.194616, 1.498962, -2694569.097594, -4296488.652728, 3854813.184418
20 , 29 , -23766659.595208 , 2007637.794198 , 11665373.301443 , 23340498.958742, 3.297717, -2694569.097594, -4296488.652728, 3854813.184418
21 , 2 , -5461782.968496 , -18234470.712707 , 19186738.820178 , 20904351.830844, 1.798755, -2694569.096318, -4296488.651804, 3854813.186328
21 , 5 , -2173503.461977 , -26163182.955019 , -3375099.309282 , 23036788.672594, 5.696057, -2694569.096318, -4296488.651804, 3854813.186328
21 , 6 , 6211775.943065 , -13555755.971328 , 22029451.560385 , 22256990.372374, 1.798755, -2694569.096318, -4296488.651804, 3854813.186328
21 , 12 , -10890591.765032 , -15335181.511814 , 18582046.602158 , 20147412.999310, 5.096472, -2694569.096318, -4296488.651804, 3854813.186328
21 , 19 , 15929717.653170 , -16109924.975780 , 13546331.279028 , 24090380.715650, 5.096472, -2694569.096318, -4296488.651804, 3854813.186328
21 , 24 , -21915635.992869 , -14994806.696202 , -3499389.287923 , 23194547.634663, 4.796679, -2694569.096318, -4296488.651804, 3854813.186328
21 , 25 , -14681038.302230 , -4425656.762765 , 21470610.926815 , 21307447.057095, 1.498962, -2694569.096318, -4296488.651804, 3854813.186328
21 , 29 , -23765370.622286 , 2006883.184623 , 11668116.228561 , 23340046.718126, 3.597509, -2694569.096318, -4296488.651804, 3854813.186328
22 , 2 , -5459698.148119 , -18233486.143089 , 19188315.651268 , 20904576.275203, 2.098547, -2694569.094954, -4296488.652128, 3854813.186916
22 , 5 , -2173178.441013 , -26163594.979572 , -3371968.789876 , 23036210.862736, 4.796679, -2694569.094954, -4296488.652128, 3854813.186916
22 , 6 , 6214136.301325 , -13554289.111575 , 22029693.421934 , 22257522.094853, 1.798755, -2694569.094954, -4296488.652128, 3854813.186916
22 , 12 , -10890211.397740 , -15337552.546930 , 18580349.750929 , 20147317.562395, 5.696057, -2694569.094954, -4296488.652128, 3854813.186916
22 , 19 , 15931424.958022 , -16110415.459943 , 13543794.206507 , 24090909.750867, 4.796679, -2694569.094954, -4296488.652128, 3854813.186916
22 , 24 , -21915116.014134 , -14994885.301599 , -3502445.905933 , 23195118.342618, 4.197094, -2694569.094954, -4296488.652128, 3854813.186916
22 , 25 , -14680895.564748 , -4428432.379018 , 21470167.392444 , 21307017.643256, 1.798755, -2694569.094954, -4296488.652128, 3854813.186916
22 , 29 , -23764081.379716 , 2006128.354946 , 11670858.907146 , 23339595.123190, 3.897302, -2694569.094954, -4296488.652128, 3854813.186916
23 , 2 , -5457613.102919 , -18232501.606394 , 19189892.094953 , 20904795.309994, 1.798755, -2694569.092764, -4296488.653634, 3854813.186769
23 , 5 , -2172853.444949 , -26164006.628256 , -3368838.197933 , 23035629.458163, 4.796679, -2694569.092764, -4296488.653634, 3854813.186769
23 , 6 , 6216496.775052 , -13552822.381173 , 22029934.817033 , 22258048.111108, 2.098547, -2694569.092764, -4296488.653634, 3854813.186769
23 , 12 , -10889831.199348 , -15339923.388309 , 18578652.498999 , 20147225.109465, 6.295642, -2694569.092764, -4296488.653634, 3854813.186769
23 , 19 , 15933131.930714 , -16110905.929661 , 13541256.840502 , 24091447.755526, 4.197094, -2694569.092764, -4296488.653634, 3854813.186769
23 , 24 , -21914595.708858 , -14994963.751357 , -3505502.451047 , 23195710.915701, 4.197094, -2694569.092764, -4296488.653634, 3854813.186769
23 , 25 , -14680752.991578 , -4431207.943558 , 21469723.392109 , 21306585.542071, 1.798755, -2694569.092764, -4296488.653634, 3854813.186769
23 , 29 , -23762791.867554 , 2005373.305224 , 11673601.337112 , 23339147.437075, 3.297717, -2694569.092764, -4296488.653634, 3854813.186769
24 , 2 , -5455527.833034 , -18231517.102721 , 19191468.151124 , 20905023.209503, 2.098547, -2694569.090895, -4296488.654541, 3854813.187062
24 , 5 , -2172528.473534 , -26164417.901096 , -3365707.533369 , 23035029.643578, 5.096472, -2694569.090895, -4296488.654541, 3854813.187062
24 , 6 , 6218857.364015 , -13551355.780268 , 22030175.745663 , 22258588.087561, 2.098547, -2694569.090895, -4296488.654541, 3854813.187062
24 , 12 , -10889451.169682 , -15342294.036135 , 18576954.846297 , 20147115.747280, 5.096472, -2694569.090895, -4296488.654541, 3854813.187062
24 , 19 , 15934838.571434 , -16111396.384787 , 13538719.180933 , 24091978.448580, 4.197094, -2694569.090895, -4296488.654541, 3854813.187062
24 , 24 , -21914075.076724 , -14995042.045857 , -3508558.923667 , 23196279.075889, 4.796679, -2694569.090895, -4296488.654541, 3854813.187062
24 , 25 , -14680610.582699 , -4433983.456369 , 21469278.925821 , 21306150.299858, 1.798755, -2694569.090895, -4296488.654541, 3854813.187062
24 , 29 , -23761502.085835 , 2004618.035285 , 11676343.518466 , 23338695.999154, 3.297717, -2694569.090895, -4296488.654541, 3854813.187062
25 , 2 , -5453442.338479 , -18230532.632064 , 19193043.819811 , 20905248.805568, 1.798755, -2694569.090830, -4296488.654715, 3854813.186916
